Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year,Offset
127,The Supremes,Where Did Our Love Go,https://www.youtube.com/watch?v=TI811Bbrxw4,,THE SUPREMES - Where Did Our Love Go [1964] (Official Original Music Video from ,1964,
128,Dusty Springfield,Son Of A Preacher Man,https://www.youtube.com/watch?v=oAZLgsDRUv4,,Dusty Springfield - Son of a Preacher Man (Official Audio),1968,
129,Timbaland,Apologize,https://www.youtube.com/watch?v=ZSM3w1v-A_Y,,Timbaland - Apologize ft. OneRepublic,2007,
130,Nick Straker,Walk In The Park,https://www.youtube.com/watch?v=dVf7axhrD_o,,The Nick Straker Band - I Walk In The Park  (Tradu[LATIN SMALL LETTER C WITH CED,1979,
131,East 17,Stay Another Day,https://www.youtube.com/watch?v=-wNhdjoF-6M,,East 17 - Stay Another Day (Official Video),1994,
132,Herman's Hermits,No Milk Today,https://www.youtube.com/watch?v=UnUcnQ6YKao,,Herman s Hermits No Milk Today,1966,
133,Caro Emerald,A Night Like This,https://www.youtube.com/watch?v=74LXx0wSqMI,,Caro Emerald - A Night Like This (Official Video),2009,
134,The Box Tops,The Letter,https://www.youtube.com/watch?v=pyq3PUTnpd0,,The Box Tops - The Letter (Audio),1967,
135,Yusuf / Cat Stevens,Father And Son,https://www.youtube.com/watch?v=B_H5XuIb5WM,,Yusuf / Cat Stevens - Father And Son,1970,
136,Taylor Swift,Anti-Hero,https://www.youtube.com/watch?v=b1kbLwvqugk,,Taylor Swift - Anti-Hero (Official Music Video),2022,
137,Boy Meets Girl,Waiting for a Star to Fall,https://www.youtube.com/watch?v=RhxF9Qg5mOU,,Boy Meets Girl - Waiting for a Star to Fall,1988,
138,REO Speedwagon,Keep on Loving You,https://www.youtube.com/watch?v=wJzNZ1c5C9c,,REO Speedwagon - Keep on Loving You (Video Version),1980,
139,Dario G,Sunchyme,https://www.youtube.com/watch?v=yFKhgF_vkgs,,Dario G - Sunchyme (Official Music Video),1997,
140,a-ha,Foot Of The Mountain,https://www.youtube.com/watch?v=WYlSpDhul_A,,A-ha - Foot Of The Mountain (Official Music Video),2009,
141,Maroon 5,Memories,https://www.youtube.com/watch?v=SlPhMPnQ58k,,Maroon 5 - Memories (Official Video),2019,
142,Harpo,Moviestar,https://www.youtube.com/watch?v=cYpYM0kMNDM,,Harpo - Moviestar / Best Audio Video Mix 1976 ( Toller schwedischer Pops[LATIN S,1975,
143,CYRIL,Stumblin' In,https://www.youtube.com/watch?v=57VMB1IzLKY,,CYRIL - Stumblin' In (Official Music Video),2023,
