Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
98,Black and Yellow,Wiz Khalifa,2010,https://www.youtube.com/watch?v=-u08GXzjJrM,57d0f6644a87a2e2c694465d3e6fc425a792f0966db43bdd75cf7cbeb70aaa5a,Wiz Khalifa - Say Yeah (Official Music Video) | Warner Records,USAT21001800
99,"Nuthin' But A ""G"" Thang",Dr. Dre,1992,https://www.youtube.com/watch?v=OocMolUXs5M,10d433b297bef253ed103c83e2cca329a33fb751abf149482a7e1698611e2099,Dr. Dre & Snoop Dogg - Nuthin' But A 'G' Thang [1994 Live] [Remastered In 4K] (O,USIR19200849
100,Powerade,BHZ,2022,https://www.youtube.com/watch?v=7RQlzyelfJE,7ea4302ddecdd41c0ad2d5d40b05817d798238a14225f07e0d10894d2988401c,Song von SIRA & BHZ - Powerade Lyrics | PREMIUM [WHITE MEDIUM STAR][VARIATION SE,DEXK52200237
101,Baby Got Back,Sir Mix-A-Lot,1992,https://www.youtube.com/watch?v=X53ZSxkQ3Ho,4f4d42eab0c4259c3deacfef169f86542ee2e995cfeb7caa0dca77050d8a158b,Sir Mix-A-Lot - Baby Got Back (Official Music Video),USSM19100221
102,Who Am I (What’s My Name)?,Snoop Dogg,1993,https://www.youtube.com/watch?v=2soGJXQAQec,63322a66f819ab531bbc2be343ef4f08f91f2aedfa702347549a40cd3da0f91f,Snoop Dogg - Who Am I (What's My Name)?,USKO10403597
103,Nachts wach,Miksu / Macloud,2022,https://www.youtube.com/watch?v=hqznO-babNE,6a74f98feddae8aa07a942e227ebc62e752bb02a25dd30bac432c2e1066984e3,Miksu/Macloud x makko - Nachts wach (Official Video),DEQ022291049
104,Erfolg ist kein Glück,Kontra K,2015,https://www.youtube.com/watch?v=Acgy-3d4P6o,3e10fa51fa1ed4c1a9b76294036cd44c60e183207485345aa0fedb7c407bdc83,Kontra K - Erfolg ist kein Glück (Official Video),DEQ321400391
105,Reimemonster (feat. Ferris MC),Afrob,1999,,,,DEE869900215
106,Ready or Not,Fugees,1996,https://www.youtube.com/watch?v=aIXyKmElvv8,e4f5daf915506be3d660b2c15d3a2531a9307569230edf053a137cf18d362fa0,Fugees - Ready Or Not (Official HD Video),USSM19600051
107,Bamba (feat. Aitch & BIA),Luciano,2022,,,,DECE72202389
108,So wie du bist,MoTrip,2015,https://www.youtube.com/watch?v=WNKIbGMq5jM,be737bc2fafeac863f03096d0bc956f9e3aaefd8b40e23d5668aefdbef75cd5a,MoTrip; Lary - So wie du bist,DEUM71501286
109,So'ne Musik,Deichkind,2014,https://www.youtube.com/watch?v=mdIP3hyxi3k,fbf0ae14a35443a19cc3115f7217ff75f603980bc31a51ead0c07b2f678c64f2,Deichkind - So`ne Musik (Official Video),DETA81500007
110,Perfect Gentleman (feat. Hope),Wyclef Jean,2000,https://www.youtube.com/watch?v=uDwraXBUHgs,a956c5703c6979e4226233dc0ba591c999920490aa0c15f040d62d141521e248,Wyclef Jean - Perfect Gentleman ft. Hope,USSM10010287
111,Bring The Noise,Public Enemy,1987,https://www.youtube.com/watch?v=FQ3WZaKjHNQ,546d987391ce0e5c677a378c4fe29a7c963860d2528261bb5c442fee8db42fd5,Anthrax; Public Enemy - Bring Tha Noize (Official Music Video),USDJ28800014
112,King of Rock,Run–D.M.C.,1985,https://www.youtube.com/watch?v=qXzWlPL_TKw,f42082a9bfbb682095d8cf9c8e7f7d3371ffdce47d15efd4960a58e0d751d9f2,RUN DMC - King Of Rock (Official Video),USAR18500024
