Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
45,Respect,Aretha Franklin,1967,https://www.youtube.com/watch?v=A134hShx_gw,399934796daa9b1797d7670c43194776801636f7494fc07a50efe5f03ba67517,Aretha Franklin - Respect (Official Lyric Video),USAT20801240
46,Take Me Out,Franz Ferdinand,2004,https://www.youtube.com/watch?v=Ijk4j-r7qPA,4160d56d73aecd1a761c974f6b2c6bd20323368641665a5562811039cb0d0f20,Franz Ferdinand - Take Me Out (Video),GBCEL0300192
47,"Bad, Bad Leroy Brown",Jim Croce,1973,https://www.youtube.com/watch?v=JzYf6qskdfA,be7afccb3d801d31918604b25f27b9eea009e21683b5b9b1cc196301d42ac1d8,"Bad, Bad Leroy Brown",GBAJE7100650
48,Fly Away,Lenny Kravitz,1998,https://www.youtube.com/watch?v=EvuL5jyCHOw,22ac06d7b5f66eae30835879a0bfa2e76c072dcff6334dfebf8755b09c199d33,Lenny Kravitz - Fly Away (Official Music Video),USVI29800169
49,Faith,George Michael,1987,https://www.youtube.com/watch?v=6Cs3Pvmmv0E,89ac64703c7ab0b567af4ea135d1e875c239e42a852dab5ad6855eaf7fc04a8f,George Michael - Faith (Official Video),GBARL1000855
50,You're Beautiful,James Blunt,2005,https://www.youtube.com/watch?v=i0N4hmT0NLw,c2cbfbaf9350b30d338e39c86b81c0d077398423671fb92e905f6ccd4247d534,You're Beautiful,USAT20401588
51,In the Mood,Glenn Miller,1939,https://www.youtube.com/watch?v=dVh3ZzVDZik,73bfedf03a515d6352edfadd88d3f70567a3c4982c8759acebcdd557019095eb,Glenn Miller - In the Mood (Audio),USBB10200858
52,bad guy,Billie Eilish,2019,https://www.youtube.com/watch?v=DyDfgMOUjCI,d2bfdd051a6ac99c558541d25c60a668fd3eae9359f3750780da9d2f4be3f473,Billie Eilish - bad guy,USUM71900764
53,Fireflies,Owl City,2009,https://www.youtube.com/watch?v=QBgl4rVz3Ks,ef6df7d4c2f07b74b785109a3902333072d9c5869548d6d15338cc0463e12798,Owl City - Fireflies (Lyrics),USUM70972068
54,Stayin' Alive,Bee Gees,1977,https://www.youtube.com/watch?v=fNFzfwLM72c,200914878307402433eb90316e18dc14617e3658282fa0a3500b9b5653f36457,Bee Gees - Stayin' Alive (Official Music Video),GBA077700130
55,Born To Be Wild,Steppenwolf,1968,https://www.youtube.com/watch?v=J7A1pauduXU,f5d8a9fd691a9935f3962e33fc9b323035150caab4022ce021f22a99af4339ff,Steppenwolf - Born To Be Wild  (Official Music Video),USMC16846563
56,Can't Stand Me Now,The Libertines,2004,https://www.youtube.com/watch?v=CqM11bt9QvI,bc791acf9c6eaa8e62ec4498508a3f02fa0a6e1f88b72ceacedde7f9c717ec8c,The Libertines - Can't Stand Me Now (Official Video),GBCVZ0300863
57,Parklife,Blur,1994,https://www.youtube.com/watch?v=YSuHrTfcikU,7c586eee8ce1f7c844a122bae5de3098e924030f97d4907b4122bf53cc1c46da,Blur - Parklife (Official 4K Music Video),GBAYE1200577
58,Royals,Lorde,2012,https://www.youtube.com/watch?v=nlcIKh6sBtc,e4c9b66057e248f5b33a4872bd6e6fabfdc1cc893543037f5a12cd1abada3424,Lorde - Royals (US Version),NZUM71200031
59,Bitter Sweet Symphony,The Verve,1997,https://www.youtube.com/watch?v=1lyu1KKwC74,bc487057389be8a9756812a9fe0f147f9477c47bf1a9f651963558bb49356f33,The Verve - Bitter Sweet Symphony,GBUM71601816
60,Timber,Pitbull,2013,https://www.youtube.com/watch?v=hHUbLv4ThOo,11bad1fa5531e9b0184def6a5096c08b25d234097bd3e6a6e5c775ec151a83ac,Pitbull; Ke$ha - Timber (featuring Ke$ha - Official Video),USRC11301695
